# VOTING_WINDOW [53794570,53804570]  (inclusive)
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3006483496,UPGRADED,1,1,0,0,53798835,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3016049146,UPGRADED,1,1,0,0,53802137,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3020424115,UPGRADED,2,1,0,0,53803347,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3033805814,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3036771538,UPGRADED,2,1,0,0,53800237,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3051257523,UNKNOWN,3,0,0,3,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3054243625,UPGRADED,4,1,0,0,53803298,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3078166583,UNKNOWN,1,0,0,1,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3085185383,UPGRADED,2,1,0,0,53799303,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3097162130,UPGRADED,3,1,0,0,53803692,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3097172872,UPGRADED,2,1,0,0,53803791,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3105269785,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3113575863,UPGRADED,2,1,0,0,53801518,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3118131267,UPGRADED,1,1,0,0,53804564,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3121673499,UNKNOWN,1,0,0,1,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3128232298,UPGRADED,2,1,0,0,53796909,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3133446406,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3138997872,UNKNOWN,2,0,0,2,,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3139292573,UPGRADED,3,1,0,0,53803482,READY
CMQ6VSWMFA2PPXOPKVRBBRJCF5W4QBXMS53LO66CY2MMN3XP25345HBVQA,3147854185,UNKNOWN,1,0,0,1,,READY
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2747598261,UNKNOWN,1,0,0,1,,READY
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2750337284,UNKNOWN,1,0,0,1,,READY
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2771660534,UNKNOWN,1,0,0,1,,READY
FSAKREVTF67CW6NUTJ3GDKWP5LTYPHRHDMFW65L3AZFOSC5FXQU47UFLKA,2725915181,UPGRADED,3,1,0,0,53804152,READY
JHYAWJDTEO4ES25H5XD4M3JVSPAVP7GL2R7RK2DIS5PKJNIY44FKTM63HI,2725421495,UNKNOWN,3,0,0,3,,READY
JHYAWJDTEO4ES25H5XD4M3JVSPAVP7GL2R7RK2DIS5PKJNIY44FKTM63HI,2919909472,UNKNOWN,1,0,0,1,,READY
K6YAELU4EETZFETOWWMGJJALOTRD2KQ4EHMDSCKMEF5AIKFU4VCMXY3BGQ,2883250753,UNKNOWN,2,0,0,2,,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2724089098,UPGRADED,3,1,0,0,53803253,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2726119795,UPGRADED,4,1,0,0,53802135,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2727954796,UNKNOWN,4,0,0,4,,READY
LDFCBONEO2KKOWOIJOVB3IBCRTLFBJKWWOCLDVVBWGWWHVNIHC72AMGABU,2728809509,UPGRADED,3,1,0,0,53799329,READY
